"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Test eshop home page","2","0","","0"
"0","","0","Test eshop cart page","3","0","","0"
"0","","0","Test eshop product page","2","0","","0"
"0","","0","Test eshop common func","3","0","","0"
